time,cpu,mem
1575001425.2892992,23.2,12.7
1575001426.2912273,2.8,12.7
1575001427.2929652,2.0,12.7
1575001428.2947109,1.5,12.7
1575001429.295985,18.3,13.0
1575001430.2972536,22.3,15.8
1575001431.298466,29.7,16.1
1575001432.2998114,37.6,16.1
1575001433.3010566,37.7,16.1
1575001434.3023765,39.4,16.1
1575001435.3026583,38.4,16.1
1575001436.3039439,38.7,16.1
1575001437.305175,37.9,16.1
1575001438.3064833,40.7,16.1
1575001439.307799,39.2,16.1
1575001440.3090684,38.7,16.1
1575001441.3103857,37.8,16.1
1575001442.3116944,39.9,16.1
1575001443.3130083,31.6,16.1
1575001444.3140187,23.2,12.4
1575001445.3146913,23.7,12.5
1575001446.3161035,21.6,12.4
1575001447.317374,22.0,12.4
1575001448.3187015,21.8,12.4
1575001449.3200405,21.1,12.4
1575001450.3213332,22.2,12.4
1575001451.3226085,22.0,12.4
1575001452.3238633,21.8,12.8
1575001453.3242173,30.5,12.8
1575001454.3255668,8.3,12.6
1575001455.326671,19.0,12.7
1575001456.3279593,22.1,13.2
1575001457.3292644,5.3,13.3
1575001458.3307345,5.2,13.3
1575001459.3324385,6.8,14.9
1575001460.3337235,15.6,16.2
1575001461.3346665,36.2,16.2
1575001462.336003,38.0,16.2
1575001463.3373415,36.2,16.2
1575001464.3386672,37.3,16.2
1575001465.340024,35.8,16.2
1575001466.3412702,37.3,16.2
1575001467.3426168,38.6,16.2
1575001468.3431108,36.2,16.2
1575001469.3443696,37.6,16.2
1575001470.3456445,36.5,16.2
1575001471.3466706,37.8,16.2
1575001472.3479989,38.1,16.2
1575001473.3492568,37.4,16.2
1575001474.3505278,26.8,12.5
1575001475.351818,15.2,12.7
1575001476.3530846,17.8,12.7
1575001477.3534913,14.6,12.6
1575001478.3547287,14.2,12.6
1575001479.3559875,15.3,12.6
1575001480.357349,14.1,12.6
1575001481.358795,14.3,12.6
1575001482.360235,1.9,12.6
1575001483.3619885,2.6,12.6
1575001484.3633611,21.2,12.6
1575001485.3647282,35.0,12.5
1575001486.3661208,29.8,12.5
1575001487.3667045,30.8,12.5
1575001488.3679376,29.2,12.5
